quick3_code,candidates
a,日曰
aa,昌晶暑間暗曙昍暙闍閶閽闇
ab,明晞晴閒昺晡暠暪曘曞
ac,暝闐題曠顥顯晪暊曊闠
ad,杲昧閑旴冔暆閫闑
ae,曼最暇暖暴曖曝昄昅昹晙閿闅
af,景晾照煦暸闌闖炅炚晱焛暕煚暩暻鴠曛曣鱀鶗鶡鷃鷐鷴鷳曭
ag,旺量閏閨曜堲晊塈暀閮曈閵闉闛曤
ah,易閉暘影昒昐昜晜晹尟閟
ai,昤時閎閩閥曇旳昡戥暷
aj,早旱暉暈聞曄闡闢旰閈晬暔閛暲曋暺
ak,昊映閔闋旲旼旻猒暌晸暯暾閺曒闃闞曮
al,即昂昕晰閘昦昴郿鄤曏
am,旦昀星閂晅暄暨閆暡曌閾闒闟
an,門剔旯昑昲閌
ao,是曷晁閃歇閡闕昃欥昳暵暰曚歞
ap,昆匙悶曬昵曨
aq,闈暐暽韙闥
ar,昭晌問晤晷閣閤暱閭闊闆昫晑閜誾謈
as,昨勗曦昉昈昮晟晇勖閍
at,昇昱開盟闔關閞暟曀闓
au,巴冒既眉晃冕晚閱曉岊旵旽昢晥晛晼晻晲閐毼毷毾閹闀闚
av,艮晏晨暍曩閬闤
aw,晒闣
ax,閻閰
ay,晦閼
b,月
ba,脂睹貊賭膾贈胉眴腊睧腤膱賰瞷瞺
bb,朋肺骨脯睛賄膈冪瞞購髓肭豽睄睊睎睔腢膌瞝貒瞲膼臑矊髇
bc,貝具冥腆瞑瞋膩賺賸臏贖臢胑貁賏賟瞚膹頯瞶顐矉顝矌贔髍髕
bd,孚爭采脖睏睬睜瞇髁冞盱胣眛貤眯脬腜貅賝臊矂
be,受服肢股爰販愛腹腺骰滕膝眅朘脙脧腏睖睩朡腶皸賕瞍骳貑臌臒雘矎矍貜
bf,炙祭然賒膘瞟縣瞧瞭鵬騰鷂鸚睒瞅膆賧鴅瞗縢膫膴膲瞴繇臐鵙矄臕鵰鵩臙鶤鶪鶢鶻矘
bg,肚眶睦睢腫貍膛墾瞠雕瞳臃瞿雞胵眭脭脞脡脽塍睚腛雎膣膗朣膧臛矐臞矔
bh,彤盼眇豺財彩彫腸膠賜膨肜豸胏胗眕睇贂
bi,肘肱冠冤眩豹腑膊賤爵賻髑髖矚肕肒眃胘胠胕戙脟睋骫蜰膞膙螣臅臗蠈颻髆蠫
bj,罕肝軍脾睥賊辭盰肸豻眲睅脺睟腩骭膟貏賥瞕膵賱瞫瞱髀貚贉
bk,奚朕胭胸敗腋睽膜瞰网狊胈胦眹朠睙腠瞁瞙骹貕骾貘贆覹矙
bl,胛腳鼎肵盺胂眒胹郥郛鄆郹郻鄍賗骱鼏膷
bm,且肛胚胝腔腥睡賦囗盷胜眐脛貾貹腄貆翢瞈膕膻髊
bn,冗刖肌刪盯則剛胰貯骯肊刐刞肐盵肮肣胇眝胻剮眱眵脝貥腧睮貐甖
bo,冢眨眺豚腴貶睫睞賅骸臉朦瞼矇胅胍朒朓眣胲脁脥腞睼瞛瞨臄
bp,眠腮懇臆懸朧矓腍膍瞣骴貔
bq,用胖眸舜腱瞬眻貄膦瞵
br,同周胎胴胳貂貼貽貉賂瞎賠骷膳骼膽謄谿瞻贍冏咼朐胊眙眧眳腒睭腡膇賙賳貙髂譻
bs,凸肋助肪胯勝膀贓臟眄盻胙眑骻臇矏
bt,冊皿胼脰瞌瞪臚髒體豋膉膃骿賹贐
bu,甩目見乳岡肥肫盹胞胱脆脫覓腕腌亂睨貌罌朊朏眈眊胐乿脘脕睆睍睌腃貀貺睕睠腯瞃覞虢瞡膮膬賵覭覶氍髐鼆
bv,妥罔脈眼脤脹腰腿賑賬嬰膿臘髏盳眓胺眽腇媵腲膢瞜貗
bw,腦瞄貓腷膰
bx,舀臍
by,丹腓脢
c,金
ca,曾鉑錯鈤銆鍺錩錔錉鍇鐠鐕
cb,鈉鈽銷鋪錦鎬鎘鏑鑰鈅鈰鉔鉓銪鋗錆錥錹錋錀鍗鎙鏞鐍鏼鐹鑐鑈鑴
cc,釜貧頒頌鋇鎖鎮鐮鑽谼鉥錤錪鍞顉鎌鏔鐨鐀鐉鐼鑌鑕鑫
