char,ucn,kRSUnicode,kTotalStrokes,kIICore,kUnihanCore2020,IsHCoreSim
㐀,U+3400,1.4,5,,,
㐁,U+3401,1.5,6,,,
㐂,U+3402,1.5,6,,,
㐃,U+3403,2.2,3,,,
㐄,U+3404,2.2,3,,,
㐅,U+3405,4.1,2,,,
㐆,U+3406,4.5,6,,,
㐇,U+3407,5.2,3,,,
㐈,U+3408,5.2,3,,,
㐉,U+3409,5.2,3,,,
㐊,U+340A,5.3,4,,,
㐋,U+340B,5.3,4,,,
㐌,U+340C,5.4,5,,,
㐍,U+340D,5.4,5,,,
㐎,U+340E,5.4,5,,,
㐏,U+340F,5.4,5,,,
㐐,U+3410,5.5,6,,,
㐑,U+3411,5.5,6,,,
㐒,U+3412,5.5,6,,,
㐓,U+3413,5.5,6,,,
㐔,U+3414,5.5,6,,,
㐕,U+3415,5.5,6,,,
㐖,U+3416,5.6,7,,,
㐗,U+3417,5.6,7,,,
㐘,U+3418,5.6,7,,,
㐙,U+3419,5.7,8,,,
㐚,U+341A,5.7,8,,,
㐛,U+341B,5.7,8,,,
㐜,U+341C,5.8,9,,,
㐝,U+341D,5.8,9,,,
㐞,U+341E,5.8,9,,,
㐟,U+341F,5.8,9,,,
㐠,U+3420,5.8,9,,,
㐡,U+3421,5.10,11,,,
㐢,U+3422,5.10,11,,,
㐣,U+3423,5.10,11,,,
㐤,U+3424,5.11,12,,,
㐥,U+3425,5.15,16,,,
㐦,U+3426,5.18,19,,,
㐧,U+3427,6.3,4,,,
㐨,U+3428,6.7,8,,,
㐩,U+3429,7.6,8,,,
㐪,U+342A,8.4,6,,,
㐫,U+342B,8.4,6,,,
㐬,U+342C,8.5,7,,,
㐭,U+342D,8.6,8,,,
㐮,U+342E,8.11,13,,,
㐯,U+342F,8.15,17,,,
㐰,U+3430,9.3,5,,,
㐱,U+3431,9.3,5,,,
㐲,U+3432,9.3,5,,,
㐳,U+3433,9.3,5,,,
㐴,U+3434,9.3,5,,,
㐵,U+3435,9.3,5,,H,
㐶,U+3436,9.3,5,,,
㐷,U+3437,9.3,5,,,
㐸,U+3438,9.4,6,,,
㐹,U+3439,9.4,6,,,
㐺,U+343A,9.4,6,,,
㐻,U+343B,9.4,6,,,
㐼,U+343C,9.4,6,,,
㐽,U+343D,9.4,6,,,
㐾,U+343E,9.4,6,,,
㐿,U+343F,9.4,6,,,
㑀,U+3440,9.4,6,,H,
㑁,U+3441,9.5,7,,,
㑂,U+3442,9.5,7,,,
