# https://jyutping.org/blog/typo/
# https://words.hk/faiman/view/711/%E9%80%A3%E7%99%BB%E9%8C%AF%E5%88%A5%E5%AD%97%E5%A4%A7%E5%85%A8
# Schema:
# from: String being replaced
# to: List of replacement strings separated by space. If multiple strings are specified, the original string will be first cloned then replaced.
# weight_mod: Weight multiplier. The weight of replaced string = original weight * weight_mod. 
#             If weight_mod < 1, the original string string is kept and its weight = original weight * (1 - weight_mod)
#             If omitted, weight_mod defaults to 1.
from,to,weight_mod
下秦,下旬
不乎,不符
不恥,不齒
不段,不斷
不防,不妨
世界杯,世界盃
世藝,細藝
並發症,併發症
丫嘛,吖嘛
丫環,丫鬟
中瘋,中風
中秦,中旬
串咀,串嘴
久遺,久違
乎合,符合
九洲,九州
九菜,韭菜 韮菜
九黃,韭黃
乞痴,乞嗤 乞嚏
事乎,視乎
事源,事緣
云南,雲南
云吞,雲吞 餛飩
介刀,鎅刀 𠝹刀
介口,戒口
介定,界定
介心,戒心
介手,鎅手 𠝹手
介指,戒指
介毒,戒毒
介波袋,鎅波袋 𠝹波袋
介線,界線
仕奉,伺奉 侍奉
付例,附例
付加,附加
付屬,附屬
付擔,負擔
付近,附近
估勵,鼓勵
估惑,古惑 蠱惑
伸手擋,伸手黨
伸請,申請
似符,似乎
佈境,佈景
佈致,佈置
何里活,荷里活
佛係,佛系
保充,補充
保標,保鏢 保鑣
保貴,寶貴
修詞,修辭
修費,收費
修音,收音
倉皇,倉惶
候生,後生
候生仔,後生仔
倫落,淪落
值入,植入
值頭,直頭
偏坦,偏袒
做型,造型
做野,做嘢
側博,側膊
側搏,側膊
側魚涌,鰂魚涌
偶象,偶像
偷野,偷嘢
傢私,傢俬 家私
催殘,摧殘
催毀,摧毀
傳釋,詮釋
像徵,象徵
僵屍,殭屍
儒動,蠕動
儘情,盡情
兄第,兄弟
光茫,光芒
兒媽巾,姨媽巾
內則,內側
八掛,八卦
公資,工資
公黨,工黨
其待,期待
典形,典型
冇野,冇嘢
准備,準備
准確,準確
几乎,幾乎
分秘,分泌
